hodges_list,p_no,preferred_name,date,verbatim_name,count
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-26,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-29,Cydia pomonella (L.),2
3492,51a1380,Cydia pomonella (Linnaeus),1998-08-31,Cydia pomonella (L.),3
3492,51a1380,Cydia pomonella (Linnaeus),1998-09-03,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-09-05,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-09-10,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-09-13,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-09-22,Cydia pomonella (L.),1
3492,51a1380,Cydia pomonella (Linnaeus),1998-10-06,Cydia pomonella (L.),1
3494,51a1383,Cydia latiferreana (Walsingham),1998-06-14,Cydia latiferreana (Wlsm.),1
3494,51a1383,Cydia latiferreana (Walsingham),1998-08-23,Cydia latiferreana (Wlsm.),1
3494,51a1383,Cydia latiferreana (Walsingham),1998-08-29,Cydia latiferreana (Wlsm.),1
3648,51a0323,Archips argyrospila (Walker),1998-05-24,Archips argyrospila (Wlk.),1
3688,51a0364,Clepsis peritana (Clemens),1998-03-16,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-03-22,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-03-25,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-04-16,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-04-17,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-04-18,Clepsis peritana (Clem.),3
3688,51a0364,Clepsis peritana (Clemens),1998-04-19,Clepsis peritana (Clem.),1
3688,51a0364,Clepsis peritana (Clemens),1998-04-20,Clepsis peritana (Clem.),2
3688,51a0364,Clepsis peritana (Clemens),1998-04-21,Clepsis peritana (Clem.),2
